filesHandler/input/atlas.csv
WC: 0.5	WT: 0.5
PreProcessingChanges:OFF	PreProcessingTime:OFF
Phases	dTime	dChange	avgDChange
0@1	25.586573	6.0	0.0068886336
1@2	29.437399	7.0	0.008036739
2@3	0.003971631	13.0	0.014925373
3@4	0.0843617	3.0	0.0045924224
4@5	15.157885	8.0	0.0034443168
5@6	4.970567	11.0	0.012629162
6@7	8.612565	12.0	0.011481056
7@8	7.775059	10.0	0.013777267
8@9	0.21963356	13.0	0.014925373
9@10	98.89815	19.0	0.021814007
10@11	4.1620684	19.0	0.021814007
11@12	18.45273	0.0	0.0
12@13	8.075201	9.0	0.01033295
13@14	14.435047	8.0	0.009184845
14@15	14.141844	54.0	0.061997704
15@16	2.037376	56.0	0.06429391
16@17	2.0360284	43.0	0.04936854
17@18	0.8793381	37.0	0.04477612
18@19	11.195674	2.0	0.0022962112
19@20	5.146596	7.0	0.005740528
20@21	29.542223	52.0	0.05970149
21@22	0.13540189	11.0	0.012629162
22@23	1.104669	59.0	0.067738235
23@24	9.320674	16.0	0.01836969
24@25	13.287068	21.0	0.024110219
25@26	26.483854	0.0	0.0
26@27	20.093794	17.0	0.019517796
27@28	11.660331	14.0	0.016073478
28@29	16.140509	20.0	0.022962112
29@30	0.8667376	21.0	0.024110219
30@31	8.385106	1.0	0.0011481056
31@32	37.46636	0.0	0.0
32@33	50.457047	0.0	0.0
33@34	53.970165	94.0	0.10792193
34@35	1.0706029	94.0	0.10792193
35@36	22.418688	12.0	0.013777267
36@37	0.026335698	13.0	0.014925373
37@38	5.790721	40.0	0.043628015
38@39	0.014267139	35.0	0.0413318
39@40	0.1656383	17.0	0.019517796
40@41	0.13163121	18.0	0.0206659
41@42	43.118595	3.0	0.0068886336
42@43	15.397778	17.0	0.025258323
43@44	7.0881205	24.0	0.027554534
44@45	14.20513	35.0	0.043628015
45@46	4.1512294	43.0	0.04477612
46@47	15.155153	4.0	0.0
47@48	5.925934	6.0	0.012629162
48@49	1.1987588	15.0	0.017221585
49@50	1.8396927	12.0	0.013777267
50@51	5.4334636	11.0	0.012629162
51@52	113.20137	23.0	0.02640643
52@53	15.3618555	1.0	0.0011481056
53@54	34.571476	1.0	0.0011481056
54@55	62.45057	3.0	0.0022962112


