filesHandler/input/ensembl.csv
WC: 0.0	WT: 0.0
PreProcessingChanges:OFF	PreProcessingTime:OFF
Phases	dTime	dChange	avgDChange
0@1	40.85299	0.0	0.0019023463
1@2	10.068192	5.0	0.0015852886
2@3	5.074669	12.0	0.0038046925
3@4	1.1811702	17.0	0.005389981
4@5	0.9033333	0.0	0.0
5@6	6.0221395	1.0	3.170577E-4
6@7	11.567352	1.0	3.170577E-4
7@8	9.910839	0.0	0.0
8@9	35.772587	0.0	0.0
9@10	0.0011229315	0.0	0.0
10@11	78.75389	0.0	0.0
11@12	4.0323524	4.0	0.0012682308
12@13	0.056264777	3.0	9.5117313E-4
13@14	7.0077777	7.0	0.0022194039
14@15	0.07549646	1.0	3.170577E-4
15@16	0.15434988	1.0	3.170577E-4
16@17	73.39208	1.0	3.170577E-4
17@18	16.541855	0.0	0.0
18@19	0.010130024	0.0	0.0
19@20	2.8809574	1.0	3.170577E-4


