filesHandler/input/mwiki.csv
WC: 0.5	WT: 0.5
PreProcessingChanges:OFF	PreProcessingTime:OFF
Phases	dTime	dChange	avgDChange
0@1	108.78143	1.0	0.0
1@2	49.1222	3.0	0.0
2@3	25.302246	1.0	0.0
3@4	21.405663	3.0	0.0011160715
4@5	27.08208	0.0	0.0
5@6	21.911974	3.0	0.0011160715
6@7	38.421524	1.0	0.0011160715
7@8	1.2011702	44.0	0.051339287
8@9	26.798923	47.0	0.05357143
9@10	19.087091	0.0	0.002232143
10@11	9.759705	1.0	0.0
11@12	21.749882	2.0	0.002232143
12@13	30.21123	0.0	0.0011160715
13@14	11.347093	3.0	0.0011160715
14@15	13.087222	5.0	0.0011160715
15@16	61.126633	19.0	0.0033482143
16@17	11.585815	3.0	0.0033482143
17@18	56.31552	2.0	0.0
18@19	38.321217	0.0	0.0
19@20	7.19909	0.0	0.0011160715
20@21	20.503275	6.0	0.0011160715
21@22	0.009988179	8.0	0.0011160715
22@23	15.3478365	5.0	0.0033482143
23@24	6.433924	7.0	0.0033482143
24@25	0.13580379	129.0	0.14397322
25@26	0.07113475	122.0	0.14285715
26@27	16.704315	2.0	0.0011160715
27@28	96.86629	6.0	0.0078125
28@29	0.18262412	7.0	0.0033482143
29@30	49.69468	1.0	0.0033482143
30@31	23.792707	1.0	0.0
31@32	22.884243	1.0	0.0011160715
32@33	0.9632033	8.0	0.002232143
33@34	1.9087471	11.0	0.011160715
34@35	64.04783	12.0	0.013392857
35@36	30.6463	12.0	0.010044643
36@37	0.31453902	11.0	0.010044643
37@38	9.3439245	5.0	0.0011160715
38@39	35.32669	3.0	0.0
39@40	84.22188	2.0	0.0011160715
40@41	49.734493	2.0	0.0011160715
41@42	76.84037	2.0	0.0011160715
42@43	38.32571	3.0	0.002232143
43@44	44.65345	1.0	0.002232143
44@45	36.15189	9.0	0.0
45@46	28.811537	5.0	0.002232143
46@47	1.4957329	50.0	0.05580357
47@48	42.150307	49.0	0.0546875
48@49	39.4437	2.0	0.0
49@50	18.085379	14.0	0.004464286
50@51	12.122412	13.0	0.0011160715
51@52	35.961525	12.0	0.0033482143
52@53	1.190922	12.0	0.0011160715
53@54	22.398687	1.0	0.0011160715
54@55	26.852434	3.0	0.0011160715


