filesHandler/input/typo3.csv
WC: 0.0	WT: 0.0
PreProcessingChanges:OFF	PreProcessingTime:OFF
Phases	dTime	dChange	avgDChange
0@1	13.361064	0.0	0.0050847456
1@2	15.044279	1.0	0.0016949152
2@3	33.64514	0.0	0.0
3@4	75.33235	34.0	0.05762712
4@5	63.606762	33.0	0.055932205
5@6	9.289858	1.0	0.0016949152
6@7	19.644823	1.0	0.0016949152
7@8	14.720248	1.0	0.0016949152
8@9	39.198284	122.0	0.20677966
9@10	75.7182	123.0	0.20847458
10@11	2.7611938	30.0	0.050847456
11@12	23.34234	30.0	0.050847456
12@13	11.218723	0.0	0.0
13@14	2.772293	8.0	0.013559322
14@15	1.807565	3.0	0.0050847456
15@16	19.23195	1.0	0.0016949152
16@17	2.9527304	4.0	0.006779661
17@18	46.025673	8.0	0.013559322
18@19	32.746265	0.0	0.0
19@20	86.7913	0.0	0.0


